Taxa	Abl	Bbl	Cbl	Dbl	Ebl	Fbl	Gbl	Hbl	Ibl	Jbl	Kbl	Mbl	Obl	Pbl	Qbl	Rbl	Sbl	Tbl	Ubl	Vbl	Wbl	Xbl
OTU_3	0.032661441	0.0063111	0.002987507	0.135693735	0.003350664	0.048855057	0.048604053	0.007006408	0.047286265	0.058808602	0.030045007	0.058291246	0.063122924	0.020950704	0.058634443	0.113444302	0.069282978	0.123835682	0.149465111	0.009256564	0.025645861	0.007959655
OTU_46	0.010078387	0.002474941	0.016702879	0	5.78E-05	0	0	0.000658722	0	0	6.08E-05	0	0.008191087	0.000762911	0.003393059	0	0.01572475	5.97E-05	0	0.002561565	0.00452574	0.000911411
OTU_45	0.000622123	0.007796065	0.001086366	0	0.017908723	0.000374368	0.001434806	0.001197677	0.020181569	0.00203007	0.00012164	0.002525253	5.73E-05	0.010798122	0.001607239	0	0.006047981	0	0	0.000756826	0	0.012942034
OTU_10	0.02606694	0.012127212	0.004617056	0.104750161	0.056672444	0.002370999	0.128594488	0.057248937	0.021291882	0.090972531	0.006933463	0.017887205	0.009393974	0.027171362	0.069349366	0.104097311	0.020025536	0.100310485	0.05944566	0.003376608	0.018574392	0.018167457
OTU_16	6.22E-05	0.018314565	0.000203694	0.068874405	0.002599653	0.000561552	0	0.000538954	6.53E-05	0.029055383	0	0.004980359	0	0.030105634	0.117090303	0	0	0	0	0.001804739	0.039977371	6.08E-05
OTU_1	0.023205176	0.03242173	0.059546442	0.014737831	0.125765453	0.024396331	0.066479345	0.007784897	0	0.001839751	0.026517455	0.04622615	0.082884637	0.025938967	0.009822013	0.001792574	0.074390162	0.000537378	0.0404814	0.07521686	0.137092212	0.12498481
OTU_13	0.009891751	0.018871427	0.001765345	0.002583524	0.032928943	0.009172022	0.001614157	0.04994311	0.007053752	0.001966631	0	0.002455107	0.012028869	0.002288732	0.029168403	0.046862996	0.05611182	0.05284213	0.006078288	0.003958782	0.006411465	0.005225422
OTU_8	0.02003235	0.044487068	0.007197175	0.070577183	0.004448296	0.013290073	0.000239134	0.006168034	0	0.068958955	0.000547379	0.009259259	0.000973766	0.175176056	0.152449551	0.009090909	0.007391976	0.001194172	0.073972769	0.006403912	0.049028852	0.000243043
OTU_152	0	0	0	0	5.78E-05	0	0	0	0	0	0.002007055	0	0	0	0	0	0	0	0	0.000407522	0	0.003220318
OTU_7	0.029488615	0.014911521	0.030689842	0	0.00023108	0.00861047	0.008967538	0.001317444	0	6.34E-05	0.173944776	0.004068462	0	0.121713615	0.093338889	0.000640205	0.000537598	0.010449009	0.000182349	0.002794434	0.0775033	0.003159558
OTU_15	0.005101406	0.056057419	0.016363389	0.00645881	0.050433276	0.032008486	0.001315239	0.040780885	0.003853439	0	0.103880307	0.045945567	0	0.066901408	0.037204596	0.001024328	0.030911901	0.013135897	0.021334792	0.00978052	0	0.012273666
OTU_33	0	0	0.006450299	0	0.03876372	0	0	0.001377328	0.000195938	6.34E-05	0.017212018	0.032968575	0.026406232	0.00064554	0.029168403	0	0	0	0.000364697	0.009547651	0	0.056385952
OTU_9	0.022831902	0.019304542	0.00129006	0.026539839	0.010976314	0.057465527	0.007592515	0.030480867	0.035791261	0	0.001398857	0.016343996	0.033337152	0.02036385	0.001607239	0.029897567	0.006921578	0.000298543	0.029965962	0.032135996	0.011408637	0.016040831
OTU_5	0.00684335	0.014354659	0.010456274	0.021196641	0.062853842	0.007050602	0.188079153	0.157434577	0.009274378	0.004504219	0.003770831	0.012345679	0.037862298	0.019424883	0.015893803	0.04609475	0.023788724	0.000119417	0.022793581	0.019910345	0.000848576	0.037124803
OTU_97	0	0	0	0	0	0	0	5.99E-05	0	0	0	0.00035073	0.001546569	0	0	0	0	0.006329114	0	0.006694999	0	0
OTU_24	0.004976981	0.001237471	0.005363933	0.002759674	0.00034662	0.001996631	0.025228672	0.062398946	0.00829469	0	0.001398857	0.005892256	0.000400962	0.000117371	0.006905173	0.000960307	6.72E-05	0	0.000243132	0.007742912	0.001980011	0.005529226
OTU_358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002284793	0	0	0	0	0
OTU_21	0.000186637	0.018500186	0.023221076	0	0.01548238	0.017657703	0	0.001556979	0.001175625	0	0.00018246	0.037247475	0	0.005633803	0	0	0	0	0.000364697	0.028584735	0.000188573	0.036213392
OTU_553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4	0.105449795	0.067627769	0.12404943	5.87E-05	0.003581745	0.049354215	0.000298918	0.014611653	0.119783162	0.047199137	0.001094757	0.023358586	0.028468324	0.029401408	0.002976368	0.000640205	0.060009408	0.005134941	0.000303914	0.020434302	0.065717518	0.042836311
