Taxa	Abl	Bbl	Cbl	Dbl	Ebl	Fbl	Gbl	Hbl	Ibl	Jbl	Kbl	Mbl	Obl	Pbl	Qbl	Rbl	Sbl	Tbl	Ubl	Vbl	Wbl	Xbl
Lachnospiraceae	0.598606445	0.437693355	0.435632808	0.420527274	0.173367995	0.482747863	0.307108268	0.570992275	0.606818627	0.56994227	0.140554677	0.324775533	0.379081224	0.290962441	0.282873981	0.530409731	0.492708823	0.572605684	0.631169463	0.183093672	0.395436545	0.245412565
Ruminococcaceae	0.134005226	0.21222621	0.262357414	0.173742	0.090756788	0.226492793	0.28929276	0.21743817	0.094050029	0.200215695	0.296375137	0.116021324	0.065185015	0.422652582	0.380617894	0.159795134	0.173173846	0.078516838	0.129771456	0.093031379	0.219781256	0.172864261
Peptostreptococcaceae	0.005723529	0.060141072	0.023696361	0.006576243	0.051877527	0.038871904	0.001614157	0.053296605	0.004049376	0.001015035	0.104184406	0.046015713	0.000400962	0.081983568	0.042264421	0.001536492	0.0311807	0.017614043	0.026866035	0.010828433	0.002828588	0.0235144
Clostridiales_Incertae_Sedis_XIII	0.000435486	0.004516768	0.001222162	0.002231225	0.003177354	0	0.010163209	0.000299419	0.000849063	0.001712872	0.018854154	0.00035073	0.000801925	0.002699531	0.00720281	0.010307298	0.001007997	0.003164557	0.000303914	0.002270478	0.000942863	0.008688784
Clostridiaceae_1	0.000248849	0.001237471	0.001561651	0	0.001039861	0.000686342	0	0.001317444	0	0	0.019401533	0.004208754	5.72803E-05	0.00193662	0.003452586	0.001984635	0	0.001492716	0.000121566	0.002037608	0.000471431	0.012152145
Eubacteriaceae	0.000186637	0.000185621	0.001086366	0.000645881	0.000866551	0.000249579	0.001076105	0	0	0.000634397	0.005899526	0.001402918	0.000687364	0.000586854	0.001904875	0.000192061	0	0.000238834	0.000303914	0.005763521	0.00075429	6.07607E-05
Clostridiales_Incertae_Sedis_XI	0	0.000618735	0	0.001056896	0	0	0.000179351	0	0	0.000190319	0.000304099	0.000701459	0	0	5.95274E-05	0.000768246	0	0	0.000243132	0.079175642	0.000660004	0
Peptococcaceae_1	0	0.000804356	0	5.87165E-05	0.00017331	0	0.000298918	5.98838E-05	0	0	0.00833232	0.000420875	0	0.000938967	0	0.006914213	0	0.000298543	0	0.000174652	0	0.000546847
Incertae_Sedis_XI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007277173	0	0
Clostridiales_Incertae_Sedis_IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gracilibacteraceae	0	0	0	0	0	0	0	0	0	0	0.002797713	0.000491021	0	0	0	0	0	0	0	0	0	0.000303804
Erysipelotrichaceae	0.033719049	0.051107536	0.056355242	0.025952675	0.316117851	0.007799339	0.24457464	0.01580933	0.05518908	0.0169384	0.044094392	0.086770483	0.123038149	0.025410798	0.047264718	0.021382843	0.019084739	0.036720802	0.054947727	0.065494557	0.015368659	0.251124073
Lactobacillaceae	0.024822695	0.000185621	0.000135796	0.000234866	0	0.000124789	0.000179351	0.000299419	0	0	0	0.032056678	0	0	0.000535746	0.000128041	0	0	0.000182349	0.000349304	0	0.002855754
Streptococcaceae	0.011322633	0.02208885	0.00353069	0.003053256	0.03859041	0.010482311	0.003347881	0.05353614	0.011168441	0.009642834	0	0.004349046	0.015981212	0.002816901	0.033097208	0.048079385	0.072239769	0.054693098	0.007840992	0.005705304	0.00905148	0.007959655
Carnobacteriaceae	0.000684335	0	0.000678979	0	0	0	0	0	0	0.000824716	6.08199E-05	0.000631313	0.000859205	0	0.000416691	0.000640205	0.000403199	0	0.000243132	0	0.000282859	0.000121521
Enterococcaceae	0	0	0	0	0	0	0	0.000419187	6.53125E-05	0	0	0	0.003093138	0	0	0	0	5.97086E-05	0	0.00110613	0.000377145	0
Leuconostocaceae	0	0	0	0	0	0	0	0.000359303	0	0	0	0	0	0	0.000238109	0	0.000671998	0	0	0.000931478	0	0
Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000471431	0
Staphylococcaceae	0.00410601	0.000309368	0	0	0.00011554	0	0	0.000299419	0	0.000824716	0	0	0	0	0	0	0	5.97086E-05	0	0.005181347	0	0
Bacillales_Incertae_Sedis_XI	0	0.000247494	6.78979E-05	0	0	0.000311974	5.97836E-05	0.000179651	0	0.000570957	0	0	0	0	0	0.000448143	0.001075197	0	0.000243132	5.82174E-05	0.000565718	0.000303804
Bacillaceae_1	0	0.000309368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonellaceae	0.003670524	0.000989976	0.007672461	0	5.77701E-05	0.000811131	0.000418485	0.000479071	0.006792502	0.001205354	0.003040993	0.005611672	0.001145607	0.001408451	0.00202393	0	0.000739198	0.013971818	6.07829E-05	0.012516737	0.006600038	0.004800097
Acidaminococcaceae	0	0.000494988	0.000135796	0	0.008434431	0	0	0.000299419	0	0.011355706	0.004379029	0.000280584	0.000801925	0.000997653	0.002976368	0.003585147	0.000470398	0	0	0.000407522	0.001320008	6.07607E-05
