Taxa	Abl	Bbl	Cbl	Dbl	Ebl	Fbl	Gbl	Hbl	Ibl	Jbl	Kbl	Mbl	Obl	Pbl	Qbl	Rbl	Sbl	Tbl	Ubl	Vbl	Wbl	Xbl
Lachnospiracea_incertae_sedis	0.176682842	0.119725282	0.177349267	0.151371029	0.098266898	0.117364447	0.176720273	0.11880951	0.186924433	0.204656474	0.022138426	0.090628507	0.07119945	0.091373239	0.115959283	0.190204866	0.123244406	0.128313829	0.143629954	0.048436863	0.116160664	0.090898044
Anaerostipes	0.056862013	0.009528524	0.002512222	0.170101579	0.004910456	0.074124914	0.036527769	0.007605246	0.061197832	0.068705196	0.031443863	0.057940516	0.050979494	0.028051643	0.067384963	0.111075544	0.082588536	0.211189396	0.209457817	0.007277173	0.034885914	0.009357152
Roseburia	0.025942516	0.018376439	0.053571429	0	0.004506066	0.00954639	0.000358702	0.004910474	0.007968127	0.007232126	0.001459676	0.016343996	0.000916485	0.032394366	0.008452884	0.011331626	0.017270345	0.009493671	0	0.004366304	0.007731473	0.004921619
Blautia	0.165360209	0.06063606	0.02756654	0.025952675	0.033737724	0.132963125	0.05906618	0.321276723	0.165110052	0.180232189	0.007359202	0.033810325	0.159067476	0.060035211	0.022620394	0.087259923	0.080841341	0.151301648	0.147580841	0.037142691	0.100132001	0.033114595
Clostridium_XlVa	0.018165982	0.011322856	0.007604563	0	0.000635471	0.011418232	0.000777187	0.002694772	0.030631572	0.020427584	0.005777886	0.006663861	0.005728033	0.005105634	0.001904875	0.000576184	0.014649553	0.006747074	0.000303914	0.00355126	0.016594381	0.002734233
Dorea	0.016112977	0.028399951	0.031300923	0.000411015	0.000462161	0.011480626	0.000119567	0.005449428	0.026843446	0.012116983	0.000486559	0.019851291	0.022740291	0.010915493	0.007440919	0.003137004	0.034742289	0.004478147	0.000243132	0.01513652	0.03875165	0.031534816
Syntrophococcus	0.001804156	0.002227447	0.004005975	0	0	0.000623947	0	5.98838E-05	0	0.001015035	0.00018246	0.001262626	0.000630084	0.00064554	0.001309602	0	0.001343996	0	0	0.00023287	0.001320008	0.001397497
Clostridium_XlVb	0.000622123	0	0.000611081	0	0	6.23947E-05	0	0	0.000653125	0.001078475	0.000243279	0.002104377	0	0	0	0	0.002284793	0	0	0.000174652	0.000377145	0.001093693
Moryella	0.00055991	0.000185621	6.78979E-05	0	0	6.23947E-05	0	5.98838E-05	0.000457188	0.000126879	0.000243279	7.01459E-05	0	5.86854E-05	5.95274E-05	0	0.000335999	0.00041796	0	0	0.000377145	0
Lactonifactor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.40205E-05	6.71998E-05	0.000537378	0.000182349	0	0	0
