prot	Abl	Bbl	Cbl	Dbl	Ebl	Fbl	Gbl	Hbl	Ibl	Jbl	Kbl	Mbl	Obl	Pbl	Qbl	Rbl	Sbl	Tbl	Ubl	Vbl	Wbl	Xbl
prot_000000000001	0.000562295	0.00052408	0	0.00047246	0.000468322	0.000508412	0	0	0.000423365	0.000336772	0.001316086	0.000568914	0.000491586	0.000642628	0.001839004	0.001410422	0.000573406	0.000464562	0.000338244	0	0.000368005	0.000614455
prot_000000000002	0.000619811	0.00065981	0.000184583	0.000389425	0.000296244	0.000583513	0	0	0.000122916	0.001113661	0	0.000542168	0.000512516	0.000708657	0.001216268	0	0.000621019	0.000480077	0.000406737	0	0.000699742	0.000122209
prot_000000000003	0.001154512	0.000597393	0	0.000375056	0.000505019	0.000362487	0	0	0.000709512	0	0.001145813	0.000432565	0.000772189	0.001399298	0	0.006139716	0.001066382	0	0.000524714	0	0.000863458	0.000321747
prot_000000000004	0.001193211	0.000365867	0	0.000958669	0.000549708	9.6898E-05	0	0	0.000354083	0.000172758	0.000540104	0.000168209	0.000453611	0.000302312	0	0.000723522	0.000171265	0.000595781	0.00044167	0	0.000264292	0.000151662
prot_000000000005	0	0.000307023	0	0.000495679	0.00040315	0.000245073	0	0	0	0.00127452	0.002385987	0.000243604	0.000478942	0.000211253	0	0	0	0	0.001337925	0	0.000296891	0.000850888
prot_000000000006	0.001505937	0.000838252	0.000965112	0.000762033	0.0005838	0.000758942	0	0	0.000281172	0.000727863	0.001706666	0.000615642	0.000426324	0.000752638	0	0	0.000541178	0.000251014	0.001038745	0	0.00067606	0.000638981
prot_000000000007	0.000234442	6.26473E-05	0	3.20737E-05	0.000101006	8.90513E-05	0	0.000708199	0.000176671	0	0	0.000106995	0	0	0	0	0	0	0	0	9.20609E-05	0
prot_000000000008	0.000664432	0.000389561	0.000704324	0.000804857	0.000431365	0.000455999	0	0	0.000293136	0.000265592	0	0.000633565	0.000465687	0.000549264	0.001160248	0	0.000263296	0.000881124	0.000480639	0	0.000319245	0.000349739
prot_000000000009	0	0.000295703	0.000532604	0.000326028	0.000589606	0.000449301	0	0	0.000539094	8.03353E-05	0.001042299	0.000544479	0.000399959	0.000953385	0	0.00578692	0.000736677	0.000653832	0.00064549	0	0.000492477	0.000352627
prot_000000000010	0	0.000309659	0	0	0.000169642	0	0	0	0	0	0	0.000318913	9.80545E-05	0	0	0	0	0.000461865	0	0	0.000233241	0
prot_000000000011	0.000685829	0.00066552	0	0.00053455	0.000695354	0.000627387	0.000247834	0	0.000582891	0.00052812	0	0.000681892	0.000774505	0.001176208	0.003076152	0.002949063	8.72591E-05	0.000728518	0.000514354	0	0.000654045	0.000251906
prot_000000000012	0.00042406	0.000659977	0.000392893	0.00066434	0.000565854	0.000314791	0	0	0.000205194	0.00033864	0.00092637	0.000433657	0.000586721	0.000601748	0.000369841	0.000709122	0.000671425	0.000262766	0.000633241	0	0.000684585	0.000545028
prot_000000000013	0.000528351	0.001291377	0	0.000573447	0.000559405	0.000523999	0	0	6.98521E-05	0.000949328	0	0.000453592	0.00050282	0.00090311	0	0	0	0.001034549	0.000561684	0	0.001220638	0.000370401
prot_000000000014	0.000463863	0.000515025	0	0.000754336	0.00058278	0.000548511	0	0	0.000245305	0.000833458	0.001737121	0.000626627	0.000434706	0.000167062	0.003640992	0	0.000550835	0.000563361	0.000913198	0	0.000546451	0.000894277
prot_000000000015	0.001047215	0.000773946	0.000475224	0.000524295	0.000426485	0.000543607	0	0	0.000356014	0.000179201	0.000560245	0.000572681	0.000603229	0.000794227	0	0	0.000310891	0.000485748	0.00061849	0	0.000638569	0.000576571
prot_000000000016	0.000271897	0.000522812	7.95841E-05	0.000482139	0.000549801	0.000544854	0	0	0.000152825	0.000348955	0	0.000736791	0.000701525	0.000709897	0.00060977	0.001169155	0.000754146	0.000569458	0.00068643	0	0.00056435	0.000571841
prot_000000000017	0.000841258	0.00042787	0.000334041	0.000688441	0.000429287	0.000644352	0	0	0.000278052	0.000503851	0	0.000405051	0.000442673	0.000718981	0	0	0.000749242	0.00017376	0.000276028	0	0.00049552	0.000147441
prot_000000000018	0.00043045	0.000626021	0.001538282	0.000727727	0.000619253	0.000710311	0	0	0.000426816	0	0.000604497	0.000838348	0.000723196	0.001045824	0	0	0.000287526	0.001200264	0.001118593	0	0.000961357	0.000505272
prot_000000000019	0.000984482	0.00085878	0.000631473	0.0006941	0.000678527	0.000635678	0	0	0.000555667	0.000544275	0.001063497	0.000699064	0.000960705	0.000620163	0	0.002279454	0.00089636	0.000703878	0.00086222	0	0.000817783	0.000418085
prot_000000000020	0.000484617	0.000480279	0	0.000556258	0.000368229	0.000426528	0	0	4.80526E-05	0.000435374	0.000680567	0.0005039	0.000400726	0.000266653	0	0	0.000215805	0.000150145	0.000238514	0	0.00053189	0.000752315
prot_000000000021	0.000449694	0.000712417	0.000153053	0.000694322	0.000597695	0.000573106	0.000325007	0.00010187	0.000484117	0.000230857	0	0.000536828	0.00064547	0.000220352	0.001008507	0	0.000286076	0.000636913	0.000337259	0	0.000553725	0.000803909
prot_000000000022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_000000000023	0.000278114	0.000134841	0.000268799	0.000122944	0.000168827	0.000151352	0	0.000894543	0.000156622	0	0	0.000154474	0	9.67483E-05	0	0	0.000150726	0	0	0	0.000110761	0
prot_000000000024	0.000651649	0.000706734	0.000784098	0.00067494	0.000661487	0.000674689	0.000166503	0	0.00026107	0.001182694	0	0.000751212	0.000512321	0.000564439	0	0.001981276	0.001113846	0.000489442	0.000691119	0	0.000589841	0.000484527
prot_000000000025	0.001000277	0.000750913	0.000183598	0.000748547	0.000380591	0.000303168	0	0	0.000397344	0.000138465	0.00086578	0.000526614	0.000694925	0.00057183	0.001209778	0	0.000137268	0.000382012	0.000706474	0	0.000696008	0.000604946
prot_000000000026	0.000186103	0.000620883	0	0.000572864	0.000434834	0.000391033	0	0	0.000295251	0.001003156	0.002090813	0.00056198	0.000636533	0.000372365	0	0.00280085	0.000662989	0.000230635	0.000366378	0	0.000475015	0.000440329
prot_000000000027	0.000287481	0.000170489	0	0.00022489	0.000233695	0.000257756	0	0	0.000208395	0	0	0.000171281	0.000177849	0.00012873	0	0	0.00019654	0	4.92566E-05	0	0.000117899	0.000118397
prot_000000000028	0.000740614	0.000376398	0.000176623	0.000466551	0.000307532	0.000306551	0	0	0.000323149	0.000399615	0.000832891	0.000390784	0.000411169	0.000254287	0	0	0.00076855	0.00018375	0.000437848	0	0.000465787	0.000272857
prot_000000000029	0.000444707	0.00047242	0.000216664	0.000484107	0.000548601	0.000323138	0	0	0.000360697	0.000163402	0	0.000519357	0.000681305	0.000517291	0	0.002737355	0.000404974	0.000209628	0.000238118	0	0.00057138	9.56326E-05
prot_000000000030	0.00038071	0.000743329	0	0.000865125	0.000474548	0.000620422	0	0	0.00035233	0.000912067	0.001325921	0.000495378	0.000646592	0.00086331	0	0	0.000769685	0.000471808	0.000499664	0	0.000249163	0.000196837
prot_000000000031	0	0	0	0	0.000147849	1.99676E-05	0	0	0	0	0	0	0	0	0	0	0	0.000128665	0	0	0	0
prot_000000000032	0.00043088	0.000649399	0.00169211	0.000615071	0.00085895	0.000816174	0.000859372	0.000726428	0.002363452	0.000425382	0	0.000885627	0.000875601	0.001209957	0.001858299	0	0.000632557	0.000586796	0.001378045	0	0.000743731	0.000497916
prot_000000000033	0.001842242	0.000612383	0.000941347	0.000728673	0.000861581	0.000633866	0	0	0.00023507	0.001348886	0.000554881	0.000683131	0.000533148	0.000731281	0.00077535	0.002973269	0.000527852	0.00142615	0.000452457	0	0.001086092	0.001068868
prot_000000000034	0.000974586	8.28635E-05	0.001477569	0.000469087	0.000453895	0.000323757	0	0	0.000105421	0	0.000995381	0.000323209	0	0.000101299	0	0	0.000473447	0	0	0	0.000104373	0
prot_000000000035	0.000707797	0.000434676	0.000567136	0.00089017	0.000576697	0.000533943	0	0	0.000263891	0.000641579	0.000222867	0.00030178	0.000368866	0.000452031	0	0.000597104	0.000424022	0.000344178	0.001139319	0	0.000529704	0.000271187
prot_000000000036	0.000280965	0.000444093	0.000669382	0.000153754	0.000279775	0.000587922	0	0	0	0	0.00310921	0.000427424	0.000376371	0	0	0	0.000250233	0.000348196	0.00090529	0	0.000441319	0.000147728
prot_000000000037	0	0.001142952	0	0	0.00077917	0.000149199	0	0	0	0.00100021	0.000446716	0.000417737	0.001035866	0.000591003	0.000624208	0	0.000942693	0.001251626	0.000972224	0	0.000187366	0.000653536
prot_000000000038	0	0	0	0	5.96544E-06	1.58714E-05	0	0	0	0	0	0	0	0	0	0	0.000440982	0.000406012	0	0	0	0
prot_000000000039	0.001024442	0.000700702	0.000657863	0.000558251	0.000652445	0.00044112	0.000174621	0	0.000355939	0.000868251	0.00116334	0.000598598	0.000715605	0.000591959	0.001083711	0	0.000122964	0.000513306	0.000853018	0	0.000622666	0.000721574
prot_000000000040	0.001030623	0.000690054	0.000613849	0.000660931	0.000451176	0.000611495	0.000162938	0	0.000255481	0.000564798	0.000723671	0.000599705	0.000850179	0.000846943	0.001011206	0	0.000452636	0.000399136	0.000253621	0	0.00087796	0.000638752
prot_000000000041	0.000627896	0.000811984	0.000703964	0.000798382	0.000678475	0.000648379	9.34291E-05	0	0.000553157	0.001393643	0.000622431	0.000673416	0.00069884	0.000548983	0.000579827	0.000555872	0.001347384	0.001327419	0.000506812	0	0.000564339	0.0003884
prot_000000000042	0.001229933	0.00075405	0.001338417	0.000763141	0.000564535	0.000635958	9.47375E-05	0	0.000354427	0.000855298	0.000631148	0.000596928	0.000606992	0.000854062	0.000587947	0	0.000333558	0.000835453	0.000611235	0	0.000661807	0.000411956
prot_000000000043	0.000873864	0.00048199	0	0	0.000432468	0.000654767	0	0	0	0	0	0.000369896	0.000574483	0.000832325	0.001156696	0	0.000721846	0.001461001	0	0	5.78668E-05	0.000464891
prot_000000000044	0.001358996	0.000835244	0.000431697	0.000729066	0.00074131	0.000979617	0	0	0.000969858	0.000976724	0.002035723	0.000303219	0.000834974	0.000258967	0	0	0.00169449	0.000898232	0.000828194	0	0.000213461	0.000666908
prot_000000000045	0.000871946	0.000832977	0.000908844	0.000469705	0.000813514	0.000863959	0	0	0.000497136	0.000971348	0.001224506	0.000568805	0.000647183	0.000583206	0	0.000820173	0.000630965	0.001215663	0.000775681	0	0.000699988	0.000687688
prot_000000000046	0.000514954	0.000646211	0.000408949	0.000569709	0.000635615	0.00058323	0.000651302	0.000272191	0.000720296	0.000308419	0	0.000606688	0.000718201	0.000686898	0	0.002583351	0.000509588	0.00042545	0.000225285	0	0.00047183	0.000992775
prot_000000000047	0.001009902	0	0	0.000562327	0	0.000562298	0	0	0.000168231	0	0	0.000221232	0.000219398	0	0	0	0.000858965	0	0	0	0.0007515	0
prot_000000000048	0.000493449	0.000263718	0	0.00024753	0.000200556	0.000237258	0	0	0.000250513	0	0	0.000233708	0.00029477	8.60377E-05	0	0	0.00036623	0.000101921	0.000377784	0	9.68841E-05	0.000172966
prot_000000000049	0.000952032	0.000867606	0	0.000884476	0.00045792	0.000668599	0	0	0.000174276	0.000263167	0.000822754	0.000645273	0.000513184	0.001042867	0	0	0.000782677	0.000181514	0.000328714	0	0.000345088	0.000346547
prot_000000000050	0	0.000313116	0	0.000466133	0.001050828	0.000365898	0	0.000709635	0.000342986	0	0	0.000116426	0.000372485	0.000420208	0	0	0.000385089	0.000535846	0.000377376	0	0	0
prot_000000000051	0.000798793	0.000589885	0.000212515	0.000670764	0.000654017	0.000741209	0	0	0.000229964	0.000859067	0.000501072	0.000617428	0.000688979	0.000910235	0	0	0.00039722	0.000386908	0.000585359	0	0.000928229	0.000371923
prot_000000000052	0.000373181	0.000101343	0.00106568	0.000174845	7.59636E-05	6.7594E-05	8.08203E-05	0.00126205	0.000202757	0	0	0.000144844	0	3.65303E-05	0	0.001923416	0.000170734	0	0	0	0.000225834	0
prot_000000000053	0.000477265	0.00063189	0.000547908	0.000730923	0.000390588	0.000422807	0	0	0.00031827	0.000666481	0.001389102	0.000666988	0.000587415	0.000424102	0.000970516	0	0.000621075	0.00015323	0.000615841	0	0.00028549	6.50105E-05
prot_000000000054	0.000934299	0.000213818	0.003173515	0.000648234	0.000568312	0.000345775	0.00370963	0.000842888	0.001084167	9.11308E-05	0.000374878	0.001274419	0.00118122	7.63018E-05	0	0	0.001654109	0.000413523	8.75875E-05	0	0.000862959	0.000421066
prot_000000000055	0	0.000614548	0	0	0.000383178	0.000379403	0.000286291	0	0	0.00037621	0	0.000563186	1.70157E-05	0.000258804	0	0	0.000302398	0	0.000445626	0	8.88864E-05	0.000238032
prot_000000000056	0.000847659	0.001001848	0.000373981	0.00089514	0.000615466	0.000738512	7.94147E-05	4.97833E-05	0.000298846	0.000789731	0.001234489	0.000919857	0.000747697	0.000966653	0.00073928	0	0.000219772	0.000894863	0.001161135	0	0.000958761	0.000575434
prot_000000000057	0.000335575	0.000428853	0	0.000344903	0.000322328	0.000411618	7.15728E-05	0	0.000266642	0.001016783	0.000635764	0.000560431	0.000456277	0.000485258	0	0	0.000201599	0.000701303	0.000236553	0	0.00036399	0.000669168
prot_000000000058	0.00014617	0.000715959	0.000696483	0.000810495	0.000506074	0.000579536	0	0	0.000463795	0.000787904	0	0.000536565	0.000301288	0.001393803	0	0	0.000130182	0.000181146	0.000945779	0	0.000684762	0.00053337
prot_000000000059	0.000618673	0.000448552	0.000526411	0.000531661	0.00044352	0.000412163	0	0	0.00036807	0.000714611	0.000744708	0.000349577	0.000305019	0.000227364	0	0.001330147	0.000157429	0.000328591	0.000318992	0	0.000392871	0.000162646
prot_000000000060	0.000906377	0.000319705	0	0.000496002	0.000400982	0.000432894	0	0	0.00047932	0.000542852	0	0.000545103	0.000317505	0.000690867	0	0	0.000269079	0	0.000582893	0	0.000593196	0.000635416
prot_000000000061	0	0	0	0	0.000233434	0.00519934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_000000000062	0.000386897	0.000255907	0.001565165	0.000299506	0.000169954	0.000299299	0	0.003469974	0.00036312	0	0	0.000302737	0	0.000218988	0	0	0.000373578	0.000474729	0	0	0.000291069	0
prot_000000000063	0	0.000258252	0	0.000569231	0.000578629	0.000414931	0	0	0	0.000506308	0	0.000333563	0.000689093	0	0	0	0	0	0.001080606	0	0.000338874	0.000231501
prot_000000000064	0.002618604	0	0.000155967	0.000590126	0.000655096	0	0	0	0.000881771	0	0	3.98361E-05	0	0	0	0.000985249	0	0.00064904	0.00055848	0	0.001053984	0.000103262
prot_000000000065	0.000489131	0.000748532	0.000436997	0.000575993	0.000595609	0.000842363	0.00015466	0	0.00012125	0.000329572	0.000686906	0.000742241	0.000790624	0.001083538	0.002399581	0	0.000871261	0.000303087	0.000521594	0	0.000524839	0.000667381
prot_000000000066	0.000343303	0.000486206	0.000954214	0.000382781	0.000419256	0.00054466	0	0	0.000225121	0.000411225	0	0.000696342	0.000763535	0.000259059	0	0	0.000305753	0.000354542	0.000337927	0	0.00064798	0.00015042
prot_000000000067	0	0.000236716	0.000886759	0.000396167	0.000398881	0.000525076	0	0	0	0.001337542	0.002090813	0.000396359	0.000447671	0	0	0	0	0.00046127	0.000212499	0	0.000292317	0.000391403
prot_000000000068	0	0.000705606	0	0.000768825	0.000571926	0.000563141	0	0	0	0.001064182	0.001109003	0.000743332	0.000665757	0.000959327	0.00116223	0.001485618	0.000307703	0.000733996	0.001004053	0.002383824	0.000732223	0.000752575
